street,number,name,amenity,craft,healthcare,historic,leisure,office,public_transport,shop,tourism,geometry
,,Астрея,,,,,,,,shoes,,POINT (24.0206994 49.8428897)
,,Shambala,,,,,,,,outdoor,,POINT (24.0201842 49.8425994)
,,37плюс,,,,,,,,clothes,,POINT (24.0204199 49.8427402)
,,Pralnia,,,,,,,,dry_cleaning,,POINT (24.0200137 49.8419098)
,,Галант,,,,,,,,hairdresser,,POINT (24.0203886 49.8411966)
,,AppleX,,,,,,,,computer,,POINT (24.0240191 49.8378543)
,,АлкоСвіт,,,,,,,,alcohol,,POINT (24.0226185 49.8390278)
,,,,,,,,,,convenience,,POINT (24.0205205 49.8414529)
,,ПриватБанк,atm,,,,,,,,,POINT (24.0202119 49.8428006)
,,Контраст,,photographic_laboratory,,,,,,,,POINT (24.0208271 49.8429102)
,,Lazerhall,,,,,,,,beauty,,POINT (24.0204874 49.8415771)
,,Фасон'є,,,,,,,,clothes,,POINT (24.0204244 49.8426125)
,,Satirikon,bar,,,,,,,,,POINT (24.0207788 49.8410481)
,,Ноутбуки з Європи,,,,,,,,computer,,POINT (24.0203013 49.8461194)
,,AV Studio,,,,,,,,beauty,,POINT (24.0201311 49.8423108)
,,Soul of beauty,,,,,,,,beauty,,POINT (24.0204275 49.8424987)
,,,,,,,,notary,,,,POINT (24.0201811 49.8425203)
,,Золото срібло,,,,,,,,jewelry,,POINT (24.0205854 49.8428752)
,,Skarbek's,,,,,,,,,hotel,POINT (24.0221121 49.8529219)
,,Преса,,,,,,,,newsagent,,POINT (24.0186895 49.8017111)
,,OneShot,cafe,,,,,,,clothes,,POINT (24.0191118 49.8025807)
,,,,,,,,,,greengrocer,,POINT (23.9185282 49.8216717)
,,"ОККО, центр самообслуговування",,,,,,company,,,,POINT (23.9974974 49.831719)
,,Чистка пір'я,,,,,,,,dry_cleaning,,POINT (23.9663871 49.822362)
,,Гуртівня мʼяса,,,,,,,,butcher,,POINT (23.9192212 49.8213782)
,,Гуртівня квітів,,,,,,,,florist,,POINT (23.9191018 49.8214055)
,,,toilets,,,,,,,,,POINT (23.9207272 49.8210806)
,,Ремонт взуття,,shoemaker,,,,,,tailor,,POINT (24.0011305 49.8330831)
,,Заточна майстерня,,sharpener,,,,,,hardware,,POINT (24.024459 49.8399121)
,,,parking_entrance,,,,,,,,,POINT (24.0238786 49.8705457)
,,,parking_entrance,,,,,,,,,POINT (24.0239711 49.8700457)
,,,parking_entrance,,,,,,,,,POINT (24.0239995 49.8698861)
,,,parking_entrance,,,,,,,,,POINT (24.0229991 49.8695266)
,,,parking_entrance,,,,,,,,,POINT (24.0220604 49.8704732)
,,,charging_station,,,,,,,,,POINT (23.9629304 49.8414214)
,,AutoEnterprise,charging_station,,,,,,,,,POINT (24.0386546 49.8116138)
,,,drinking_water,,,,,,,,,POINT (23.9942248 49.8105766)
,,,,,,,,,,stationery,,POINT (23.9942711 49.8106194)
,,Рена,studio,,,,,,,,,POINT (23.9735587 49.8447242)
,,Шиномонтаж,,,,,,,,tyres,,POINT (23.9758352 49.8522299)
,,,waste_basket,,,,,,,,,POINT (24.0277443 49.8448281)
,,Львівська веганська кухня,,,,,,,,bakery,,POINT (24.0197303 49.8582019)
,,,,electronics_repair,,,,,,,,POINT (24.0176766 49.8578056)
,,,,shoemaker,,,,,,,,POINT (24.0165824 49.8591107)
,,,,,,,,notary,,,,POINT (24.0160253 49.8555462)
,,,,,,,,,,chemist,,POINT (24.017822 49.8579527)
,,,,,,,,,,convenience,,POINT (24.016588 49.859069)
,,Продукти,,,,,,,,convenience,,POINT (24.016317 49.8576741)
,,Продукти,,,,,,,,convenience,,POINT (24.0170841 49.8579754)
,,Промислові товари,,,,,,,,houseware,,POINT (24.0172029 49.8579568)
,,Novel,,,,,,,,beauty,,POINT (24.0175784 49.8577942)
,,КівіФітнес,,,,,fitness_centre,,,,,POINT (24.0176299 49.8562559)
,,,recycling,,,,,,,,,POINT (24.0384661 49.81142)
Тернопільська вулиця,21,Близенько,,,,,,,,convenience,,POINT (24.0358409 49.8114715)
Тернопільська вулиця,21е,БудМаг,,,,,,,,doityourself,,POINT (24.0360259 49.8117675)
,,ЛКП „Левандівка“,,,,,,government,,,,POINT (23.9757769 49.8470307)
,,Marevo,restaurant,,,,,,,,,POINT (24.0303954 49.8431534)
,,,bench,,,,,,,,,POINT (24.0331975 49.8442219)
,,,waste_basket,,,,,,,,,POINT (24.0324086 49.8442978)
,,Фен-Шуй,,,,,,,,beauty,,POINT (24.0184895 49.8541566)
,,,bench,,,,,,,,,POINT (24.0331279 49.8442953)
,,,bench,,,,,,,,,POINT (24.0330964 49.8442274)
,,,bench,,,,,,,,,POINT (24.0323919 49.8443506)
,,,bench,,,,,,,,,POINT (24.0324786 49.8442846)
,,,waste_basket,,,,,,,,,POINT (24.0324368 49.8443516)
,,,,,,,,,,,artwork,POINT (24.0182667 49.8542258)
,,,bench,,,,,,,,,POINT (24.0325003 49.8443409)
,,,bench,,,,,,,,,POINT (24.0323609 49.8443038)
,,,bench,,,,,,,,,POINT (24.0314908 49.8444543)
,,,,,,,,,,,artwork,POINT (24.0195111 49.8587216)
,,,bicycle_parking,,,,,,,,,POINT (24.0193971 49.8587394)
,,Тур де Львів,,,,,,,,travel_agency,,POINT (24.0197393 49.8585626)
,,Укрексімбанк,bank,,,,,,,,,POINT (24.0197934 49.8585035)
,,,waste_basket,,,,,,,,,POINT (24.0217448 49.8555784)
,,,waste_basket,,,,,,,,,POINT (24.0218356 49.8554016)
,,,waste_basket,,,,,,,,,POINT (24.0218206 49.8554482)
,,,waste_basket,,,,,,,,,POINT (24.0220828 49.8549411)
Зелена вулиця,149,Комплекс Дах,,,,,,,,doityourself,,POINT (24.061389 49.8117237)
,,,waste_disposal,,,,,,,,,POINT (24.0339561 49.8415431)
,,,,,,memorial,,,,,,POINT (23.9265693 49.8470988)
,,Чистенько,,,,,,,,chemist,,POINT (24.0357488 49.8114017)
,,,bench,,,,,,,,,POINT (23.9957131 49.8399104)
,,,bench,,,,,,,,,POINT (23.9956906 49.8399004)
,,,bench,,,,,,,,,POINT (23.9956748 49.8399143)
,,,bench,,,,,,,,,POINT (23.9957164 49.8398565)
,,,bench,,,,,,,,,POINT (23.9956735 49.839857)
,,,bench,,,,,,,,,POINT (23.9956534 49.8398219)
,,,bench,,,,,,,,,POINT (23.9955736 49.8398388)
,,,bench,,,,,,,,,POINT (23.9955619 49.8398678)
,,,waste_basket,,,,,,,,,POINT (23.9956978 49.8399709)
,,Залізничний вокзал,,,,,,,platform,,,POINT (23.9959662 49.8399459)
,,Залізничний вокзал,,,,,,,platform,,,POINT (23.9959048 49.8398536)
,,Залізничний вокзал,,,,,,,platform,,,POINT (23.9958445 49.8397616)
,,,bicycle_parking,,,,,,,,,POINT (23.9950573 49.8402088)
,,,bicycle_parking,,,,,,,,,POINT (23.9949962 49.8401193)
,,,bench,,,,,,,,,POINT (23.9945842 49.8394033)
,,,bench,,,,,,,,,POINT (23.9945 49.8394288)
,,,bench,,,,,,,,,POINT (23.9944927 49.8393573)
,,,bench,,,,,,,,,POINT (23.9944508 49.8392933)
,,,bench,,,,,,,,,POINT (23.9943586 49.8392206)
,,,bench,,,,,,,,,POINT (23.9944444 49.8391964)
,,,bench,,,,,,,,,POINT (23.994488 49.8391845)
,,,bench,,,,,,,,,POINT (23.9943123 49.8390894)
,,,bench,,,,,,,,,POINT (23.9943726 49.8390697)
,,,bench,,,,,,,,,POINT (23.9942767 49.8390362)
,,,waste_basket,,,,,,,,,POINT (24.0200323 49.8583715)
,,Індустріалбанк,bank,,,,,,,,,POINT (24.0192378 49.8594528)
,,Сирні Мандри,,,,,,,,cheese,,POINT (24.019263 49.8594131)
,,,bar,,,,,,,,,POINT (24.0194373 49.8597944)
,,Є таке!,,,,,,,,houseware,,POINT (24.0191154 49.8596925)
,,,post_box,,,,,,,,,POINT (24.0202438 49.8584295)
,,Dresscode beauty bar,,,,,,,,beauty,,POINT (24.0196263 49.8522695)
,,Козак,,,,,,,,outdoor,,POINT (24.0195003 49.8475458)
,,,waste_disposal,,,,,,,,,POINT (23.9852589 49.8123512)
,,,bench,,,,,,,,,POINT (23.9889926 49.8266524)
,,,bench,,,,,,,,,POINT (23.9889643 49.8266344)
,,,bench,,,,,,,,,POINT (23.9889519 49.8266099)
,,Doping4you,,,,,,,,nutrition_supplements,,POINT (24.0244073 49.8477084)
,,Mega mass,,,,,,,,nutrition_supplements,,POINT (24.0243971 49.8475695)
,,,bicycle_repair_station,,,,,,,,,POINT (24.0242237 49.8498808)
,,,bench,,,,,,,,,POINT (23.9956001 49.8392963)
,,TS Group Lviv,,,,,,,,travel_agency,,POINT (24.0195465 49.8144835)
,,Напої та тютюн,,,,,,,,alcohol,,POINT (24.0320802 49.8291465)
,,Продукти Напої Тютюн,,,,,,,,alcohol,,POINT (24.0484924 49.7980118)
,,,bicycle_parking,,,,,,,,,POINT (24.0173991 49.8350643)
,,Консульське агентство Франції,,,,,,diplomatic,,,,POINT (24.0282677 49.836986)
,,,bench,,,,,,,,,POINT (23.9854355 49.8123248)
,,Газ-LPG,fuel,,,,,,,,,POINT (23.9850439 49.8121906)
,,ZooBonus,,,,,,,,pet_grooming,,POINT (24.0275402 49.8365375)
,,Go To-U,charging_station,,,,,,,,,POINT (24.0262165 49.8540126)
,,,waste_disposal,,,,,,,,,POINT (24.0153262 49.8284394)
,,Нотаріус Залецька Наталія Михайлівна,,,,,,lawyer,,,,POINT (24.0117932 49.8442975)
,,,parking_entrance,,,,,,,,,POINT (24.093653 49.8434629)
вулиця Богдана Хмельницького,176,Радіомаг Львів,,,,,,,,radiotechnics,,POINT (24.0504525 49.861066)
,,Sino Experimental,bar,,,,,,,,,POINT (24.0331877 49.8434048)
,,,,,,monument,,,,,,POINT (24.0369002 49.8250031)
,,AutoEnterprise,charging_station,,,,,,,,,POINT (23.9767385 49.8121811)
,,Відділ періодичних видань ЛННБУ,library,,,,,,,,,POINT (24.0298368 49.8371936)
,,Toka,charging_station,,,,,,,,,POINT (23.9799625 49.8022923)
,,Monobank,bank,,,,,,,,,POINT (24.0235618 49.8553906)
,,Монобанк,bank,,,,,,,,,POINT (24.0281342 49.8399224)
,,Monobank,bank,,,,,,,,,POINT (24.031694 49.8361688)
,,Monobank,bank,,,,,,,,,POINT (24.023661 49.8448116)
проспект Свободи,1/3,Монобанк,bank,,,,,,,,,POINT (24.0281296 49.8397123)
,,Monobank,bank,,,,,,,,,POINT (24.031762 49.839463)
,,Monobank,bank,,,,,,,,,POINT (24.0613364 49.8139999)
,,Monobank,bank,,,,,,,,,POINT (23.9584324 49.8228583)
,,Monobank,bank,,,,,,,,,POINT (24.0021202 49.836557)
,,Monobank,bank,,,,,,,,,POINT (24.023374 49.8442877)
,,Monobank,bank,,,,,,,,,POINT (24.022763 49.844588)
,,Monobank,bank,,,,,,,,,POINT (24.023129 49.870034)
,,Monobank,bank,,,,,,,,,POINT (24.022826 49.87023)
,,Monobank,bank,,,,,,,,,POINT (24.034143 49.838594)
,,Monobank,bank,,,,,,,,,POINT (24.021093 49.843168)
,,Monobank,bank,,,,,,,,,POINT (24.0043786 49.8374185)
,,iBox,payment_terminal,,,,,,,,,POINT (24.0035855 49.8097146)
,,Monobank,bank,,,,,,,,,POINT (24.0624541 49.7945572)
,,Monobank,bank,,,,,,,,,POINT (24.0035887 49.8371694)
,,Monobank,bank,,,,,,,,,POINT (24.0607667 49.7943954)
,,Monobank,bank,,,,,,,,,POINT (24.05451 49.79966)
,,Monobank,bank,,,,,,,,,POINT (24.0580845 49.86919)
,,Monobank,bank,,,,,,,,,POINT (23.9634669 49.8415736)
,,Monobank,bank,,,,,,,,,POINT (23.991909 49.8505433)
,,Monobank,bank,,,,,,,,,POINT (24.062663 49.7958809)
,,Monobank,bank,,,,,,,,,POINT (24.044593 49.829109)
,,Monobank,bank,,,,,,,,,POINT (24.023139 49.843088)
,,Monobank,bank,,,,,,,,,POINT (24.0574649 49.7918744)
,,Monobank,bank,,,,,,,,,POINT (24.0031341 49.8365742)
,,Monobank,bank,,,,,,,,,POINT (24.0170708 49.8620789)
,,Monobank,bank,,,,,,,,,POINT (23.9778355 49.8124425)
,,Monobank,bank,,,,,,,,,POINT (23.9972037 49.8033965)
,,Monobank,bank,,,,,,,,,POINT (24.0554157 49.80784)
,,Новий градус,,,,,,,,alcohol,,POINT (24.0185076 49.8144532)
,,,parking,,,,,,,,,POINT (24.0705855 49.8038306)
,,,bench,,,,,,,,,POINT (24.0245497 49.8328152)
,,,bench,,,,,,,,,POINT (24.0246028 49.8329044)
,,,bench,,,,,,,,,POINT (24.0244485 49.8328871)
,,,bench,,,,,,,,,POINT (24.0243741 49.8329868)
,,,bench,,,,,,,,,POINT (24.0247634 49.8328868)
,,Перлина,,,,,,,,sewing,,POINT (24.0251792 49.8375601)
,,,parking,,,,,,,,,POINT (24.0245827 49.8161737)
,,Market MA Pizza,restaurant,,,,,,,,,POINT (23.9959695 49.8474248)
,,Автосервіс АвтоШанс,car_wash,,,,,,,,,POINT (23.9843048 49.8557369)
,,,waste_disposal,,,,,,,,,POINT (24.0053849 49.8338861)
,,,,,,,,,,bakery,,POINT (24.0115835 49.8326751)
вулиця Корнякта,1,Анчоус,restaurant,,,,,,,,,POINT (24.0297684 49.8434002)
,,,bench,,,,,,,,,POINT (24.0200387 49.8384024)
,,,bench,,,,,,,,,POINT (24.01995 49.8383402)
,,,bench,,,,,,,,,POINT (24.0199112 49.8383136)
,,,bench,,,,,,,,,POINT (24.0200918 49.8383597)
,,,bench,,,,,,,,,POINT (24.0200271 49.8383023)
,,,bench,,,,,,,,,POINT (24.0199855 49.8382804)
,,,waste_basket,,,,,,,,,POINT (24.0200164 49.8383872)
,,,waste_basket,,,,,,,,,POINT (24.0200873 49.8383384)
,,,waste_basket,,,,,,,,,POINT (24.0199308 49.8383281)
,,,waste_basket,,,,,,,,,POINT (24.0200104 49.8382907)
,,Питна вода «Кришталева»,,,,,,,,water,,POINT (24.0096957 49.8440756)
,,,,,,,playground,,,,,POINT (24.0053715 49.8333779)
,,,,,,,playground,,,,,POINT (23.9970644 49.8457166)
,,Близенько,,,,,,,,supermarket,,POINT (24.0453039 49.808838)
,,,bench,,,,,,,,,POINT (24.0459643 49.8090807)
,,,bench,,,,,,,,,POINT (24.0459729 49.8091175)
,,,bench,,,,,,,,,POINT (24.0459575 49.80905)
,,,bench,,,,,,,,,POINT (24.0460847 49.8089601)
,,,bench,,,,,,,,,POINT (24.0460263 49.8089655)
,,,parking_entrance,,,,,,,,,POINT (24.0431781 49.8102305)
вулиця Тараса Шевченка,60,La П'єц,fast_food,,,,,,,,,POINT (24.0089372 49.8458682)
,,,waste_disposal,,,,,,,,,POINT (23.961526 49.8383552)
,,,toilets,,,,,,,,,POINT (23.9591713 49.8419074)
,,Рукавичка,,,,,,,,supermarket,,POINT (23.9605701 49.8470808)
,,,drinking_water,,,,,,,,,POINT (24.0312976 49.8415074)
,,,,,,,,,,,viewpoint,POINT (24.0341236 49.8448674)
,,,,,,,,,,,viewpoint,POINT (24.0335248 49.8448289)
Залізнична вулиця,7,SignSpot,,,,,,company,,,,POINT (23.9966387 49.8448316)
,,Простір,cafe,,,,,,,,,POINT (24.0211849 49.8268662)
,,,toilets,,,,,,,,,POINT (23.9590385 49.8225606)
,,ПриватБанк,atm,,,,,,,,,POINT (23.9591163 49.8227219)
,,,bench,,,,,,,,,POINT (23.9632114 49.819418)
,,,bench,,,,,,,,,POINT (23.9630377 49.8197187)
,,,bench,,,,,,,,,POINT (23.9615773 49.819196)
,,,bench,,,,,,,,,POINT (23.9616296 49.8192138)
,,,bench,,,,,,,,,POINT (23.9614137 49.8192056)
,,,bench,,,,,,,,,POINT (23.9614224 49.8192402)
,,,bench,,,,,,,,,POINT (23.9640456 49.8203222)
,,,bench,,,,,,,,,POINT (23.9640514 49.8203505)
,,,bench,,,,,,,,,POINT (23.9640573 49.8203789)
,,,bench,,,,,,,,,POINT (23.9640631 49.8204073)
,,,,,,,playground,,,,,POINT (23.9609483 49.8186213)
,,,bench,,,,,,,,,POINT (23.9644566 49.8195625)
,,,bench,,,,,,,,,POINT (23.9671666 49.8213745)
,,,bench,,,,,,,,,POINT (23.9660053 49.8210436)
,,,bench,,,,,,,,,POINT (23.9659023 49.8210622)
,,,bench,,,,,,,,,POINT (23.9660452 49.8210694)
,,,bench,,,,,,,,,POINT (23.9659922 49.8210779)
,,,bench,,,,,,,,,POINT (23.9659392 49.8210864)
,,,bench,,,,,,,,,POINT (23.9658862 49.8210949)
,,,bench,,,,,,,,,POINT (23.9595146 49.8214687)
,,,bench,,,,,,,,,POINT (23.9642756 49.8221401)
,,,bench,,,,,,,,,POINT (23.9668941 49.8219562)
,,,bench,,,,,,,,,POINT (23.9667666 49.8220229)
,,,bench,,,,,,,,,POINT (23.9607009 49.8135722)
,,,bench,,,,,,,,,POINT (23.9608061 49.8135035)
,,,bench,,,,,,,,,POINT (23.9601342 49.8139448)
,,,bench,,,,,,,,,POINT (23.9598821 49.8141118)
,,,bench,,,,,,,,,POINT (23.9597923 49.8141711)
,,,bench,,,,,,,,,POINT (23.9596722 49.8142494)
,,,bench,,,,,,,,,POINT (23.9595965 49.8142996)
,,,bench,,,,,,,,,POINT (23.9595435 49.8143403)
Луганська вулиця,8,Двері Білорусії,,,,,,,,doors,,POINT (24.0539351 49.8077864)
,,Black Red White,,,,,,,,furniture,,POINT (24.051041 49.8084078)
,,Шиномонтаж,,,,,,,,car_repair,,POINT (24.0498179 49.8085515)
,,Шипшина,,,,,,,,car_repair,,POINT (24.0473396 49.8089548)
,,,bicycle_parking,,,,,,,,,POINT (24.0459837 49.8091711)
Угорська вулиця,14,Re:bro,restaurant,,,,,,,,,POINT (24.0458885 49.8100072)
,,Домашні напівфабрикати,,,,,,,,frozen_food,,POINT (23.9773942 49.8136375)
,,Медіальт,clinic,,clinic,,,,,,,POINT (24.0407011 49.8119025)
,,,bureau_de_change,,,,,,,,,POINT (24.0350857 49.8359938)
,,,bureau_de_change,,,,,,,,,POINT (24.0350069 49.8343718)
,,,bureau_de_change,,,,,,,,,POINT (24.0333053 49.828445)
,,,bureau_de_change,,,,,,,,,POINT (24.0329897 49.828886)
,,Обмін валют,bureau_de_change,,,,,,,,,POINT (24.0347706 49.8370487)
,,LaZerway - Beauty Сentre,,,,,,,,beauty,,POINT (24.0409411 49.8118254)
,,Квіти / Подарунки / Кульки,,,,,,,,gift,,POINT (24.0395585 49.8122772)
,,,waste_basket,,,,,,,,,POINT (24.009421 49.8422475)
,,Чарка до свята,,,,,,,,alcohol,,POINT (24.0169752 49.807946)
,,,bench,,,,,,,,,POINT (23.9674969 49.8474587)
,,,bench,,,,,,,,,POINT (23.9787394 49.8474484)
,,,toilets,,,,,,,,,POINT (23.9784417 49.8475591)
,,Моя фірма „Бісер“,,,,,,,,sewing,,POINT (24.0007847 49.8429549)
,,Відділ продажів ЖК «Софіївка»,,,,,,estate_agent,,,,POINT (24.0411297 49.8117731)
,,Uber Партнер,,,,,,company,,,,POINT (24.0098399 49.836405)
,,,waste_disposal,,,,,,,,,POINT (23.968909 49.8213828)
,,,waste_disposal,,,,,,,,,POINT (23.96936 49.8213356)
,,Оптика,,,,,,,,optician,,POINT (24.0413713 49.8736944)
,,,bicycle_parking,,,,,,,,,POINT (24.0400361 49.8742675)
,,,bench,,,,,,,,,POINT (24.0405685 49.8773655)
,,,bench,,,,,,,,,POINT (24.0405688 49.8773194)
,,,bench,,,,,,,,,POINT (24.0405743 49.8772599)
,,,bench,,,,,,,,,POINT (24.0406721 49.8772164)
,,Близенько,,,,,,,,supermarket,,POINT (24.0047929 49.8281569)
,,Близенько,,,,,,,,convenience,,POINT (24.0506547 49.8647022)
,,Близенько,,,,,,,,supermarket,,POINT (24.0004277 49.8216703)
,,Близенько,,,,,,,,convenience,,POINT (24.0369272 49.8804206)
,,Близенько,,,,,,,,supermarket,,POINT (24.0581387 49.8169997)
,,Близенько,,,,,,,,convenience,,POINT (23.9938322 49.8105611)
,,Близенько,,,,,,,,convenience,,POINT (24.0344452 49.8684422)
,,Близенько,,,,,,,,convenience,,POINT (24.0178702 49.7953444)
,,Близенько,,,,,,,,convenience,,POINT (24.0519594 49.78721)
,,Тока,charging_station,,,,,,,,,POINT (23.9781279 49.8081011)
,,Rozetka,,,,,,,,outpost,,POINT (24.0480074 49.7981645)
,,Rozetka,,,,,,,,outpost,,POINT (24.0298273 49.8459118)
,,Rozetka,,,,,,,,trade,,POINT (24.041883 49.83785)
,,Rozetka,,,,,,,,outpost,,POINT (23.968669 49.830225)
,,,bench,,,,,,,,,POINT (23.964095 49.8205375)
,,,bench,,,,,,,,,POINT (23.9640892 49.8205091)
,,,bench,,,,,,,,,POINT (23.9640833 49.8204807)
,,,bench,,,,,,,,,POINT (23.9640775 49.8204524)
,,Tommy Hilfiger,,,,,,,,clothes,,POINT (24.0297623 49.8398456)
,,Gant,,,,,,,,clothes,,POINT (24.0298463 49.8398623)
,,Рукавичка,,,,,,,,supermarket,,POINT (24.0100866 49.8096037)
,,,waste_disposal,,,,,,,,,POINT (23.9994719 49.8266633)
,,Майстерня смаку,fast_food,,,,,,,,,POINT (23.9742494 49.8118566)
,,Окуліст,doctors,,doctor,,,,,,,POINT (24.0457463 49.8048151)
,,,parking,,,,,,,,,POINT (24.0007981 49.803033)
,,,waste_basket,,,,,,,,,POINT (24.024713 49.8555002)
,,,waste_basket,,,,,,,,,POINT (24.0236681 49.8551403)
,,,waste_basket,,,,,,,,,POINT (24.0235436 49.8551257)
,,Жолудь,bar,,,,,,,,,POINT (24.0213354 49.8503973)
,,Естор,,,,,,,,interior_decoration,,POINT (23.9751845 49.8133298)
,,Аркан Декор,,,,,,,,interior_decoration,,POINT (23.973862 49.812684)
,,Територія Сантехніки,,,,,,,,bathroom_furnishing,,POINT (23.9790454 49.8093459)
,,Двері Білорусі,,,,,,,,hardware,,POINT (23.980041 49.8090703)
,,Дерево Карпати,,,,,,,,hardware,,POINT (23.9792883 49.8092229)
,,Артбуд-Захід,,,,,,,,hardware,,POINT (24.0137885 49.8155897)
проспект Вʼячеслава Чорновола,7,ІнтерСумка,,,,,,,,bag,,POINT (24.0247825 49.8453866)
вулиця Панаса Мирного,24,Fizmat,,,,,fitness_centre,,,,,POINT (24.0336209 49.8131555)
вулиця Панаса Мирного,24,Intellias,,,,,,it,,,,POINT (24.0334276 49.8127617)
,,,waste_disposal,,,,,,,,,POINT (24.0027484 49.8313653)
,,,,,,,playground,,,,,POINT (23.9670725 49.8485472)
,,Weekender,,,,,,,,clothes,,POINT (23.9787693 49.8070943)
,,Техно Їжак,,,,,,,,electronics,,POINT (23.9786086 49.8072628)
,,Техно Їжак,,,,,,,,trade,,POINT (23.9793482 49.8075639)
,,Цитрус,,,,,,,,electronics,,POINT (23.9780428 49.8076752)
,,Золота Країна,,,,,,,,jewelry,,POINT (23.9780822 49.8073303)
,,Lifecell,,,,,,,,mobile_phone,,POINT (23.9781198 49.8075276)
,,Камея,,,,,,,,jewelry,,POINT (23.9781573 49.8076713)
,,Kids Car,car_rental,,,,,,,yes,,POINT (23.9782633 49.8077872)
,,Брати Vapeshop,,,,,,,,yes,,POINT (23.9780796 49.8078271)
,,Victoria's Secret,,,,,,,,clothes,,POINT (23.9779629 49.8078366)
,,,,,,,,,,yes,,POINT (23.9778596 49.8078452)
,,,,,,,,,,yes,,POINT (23.9777483 49.8078565)
,,Bodo,,,,,,,,gift,,POINT (23.9776772 49.8078599)
,,Срібний Вік,,,,,,,,jewelry,,POINT (23.9775337 49.8078773)
,,,,,,,,,,yes,,POINT (23.9774372 49.8078842)
,,,,,,,,,,yes,,POINT (23.9772977 49.8076003)
,,,,,,,,,,yes,,POINT (23.9772695 49.8073078)
,,,,,,,,,,yes,,POINT (23.9774036 49.8072922)
,,Sofi,,,,,,,,jewelry,,POINT (23.9776182 49.8072299)
,,Срібна Країна,,,,,,,,jewelry,,POINT (23.9777443 49.8072152)
,,,,,,,,,,yes,,POINT (23.9783598 49.8072446)
,,Punky Monkey,,,,,,,,gift,,POINT (23.9788131 49.8072727)
,,,,,,,,,,yes,,POINT (23.9789741 49.807277)
,,Срібний Вік,,,,,,,,jewelry,,POINT (23.9795628 49.8073865)
,,Pocket Store,,,,,,,,mobile_phone,,POINT (23.9795668 49.8074246)
,,,,,,,,,,yes,,POINT (23.9794877 49.8074324)
,,,,,,,,,,yes,,POINT (23.9792094 49.8076107)
,,,,,,,,,,yes,,POINT (23.979475 49.8075116)
,,Табакерка,,,,,,,,tobacco,,POINT (23.977348 49.8076392)
,,Ajour,,,,,,,,clothes,,POINT (23.9773104 49.8074943)
,,Сирне королівство,,,,,,,,cheese,,POINT (23.9772943 49.8074056)
,,Vodafone,,,,,,,,mobile_phone,,POINT (23.9781654 49.8078799)
,,Roy Robson,,,,,,,,clothes,,POINT (23.9785624 49.8078366)
,,bugatti,,,,,,,,clothes,,POINT (23.9780863 49.8077604)
,,Lee & Wrangler,,,,,,,,clothes,,POINT (23.9778862 49.8077018)
,,Triumph,,,,,,,,clothes,,POINT (23.9788494 49.807776)
,,Luca Maison,,,,,,,,shoes,,POINT (23.978038 49.8076081)
,,Roshen,,,,,,,,confectionery,,POINT (23.9780138 49.8075371)
,,,waste_disposal,,,,,,,,,POINT (24.0118896 49.8616385)
,,,,,,,,,,general,,POINT (24.0122235 49.8615633)
,,,,,,,,,,general,,POINT (24.0120927 49.8614955)
,,,waste_disposal,,,,,,,,,POINT (24.0139351 49.8615452)
,,,recycling,,,,,,,,,POINT (24.0075978 49.8316841)
,,Skechers,,,,,,,,shoes,,POINT (23.9789861 49.8072195)
,,Welfare,,,,,,,,shoes,,POINT (23.9788842 49.8072169)
,,Remix,,,,,,,,clothes,,POINT (23.9786576 49.8072004)
,,Impero Uomo,,,,,,,,clothes,,POINT (23.9785409 49.8071961)
,,Walker,,,,,,,,shoes,,POINT (23.9784148 49.8071892)
,,Anabel Arto,,,,,,,,clothes,,POINT (23.9777067 49.8071736)
,,Duna,,,,,,,,clothes,,POINT (23.9776249 49.8071792)
,,MasterZoo,,,,,,,,pet_grooming,,POINT (23.9771676 49.8069724)
,,Bao Home Textile,,,,,,,,fabric,,POINT (23.9771991 49.8070923)
,,Monpacie,,handicraft,,,,,,sewing,,POINT (23.9772099 49.8071321)
,,Miele,,,,,,,,electronics,,POINT (23.9772219 49.8071753)
,,Xiaomi,,,,,,,,mobile_phone,,POINT (23.9772655 49.8072749)
,,Remax,,,,,,,,mobile_phone,,POINT (23.9779756 49.8072195)
,,,bureau_de_change,,,,,,,,,POINT (23.9774342 49.8080772)
,,Top Shop,,,,,,,,hardware,,POINT (23.9774321 49.8080423)
,,Brabrabra,,,,,,,,clothes,,POINT (23.9777322 49.8079197)
,,Oodji,,,,,,,,clothes,,POINT (23.9778221 49.8079162)
,,Privado,,,,,,,,bag,,POINT (23.9789352 49.8077431)
,,Isabel Garcia,,,,,,,,clothes,,POINT (23.9790384 49.8077163)
,,Chilia,,,,,,,,clothes,,POINT (23.9791431 49.8076877)
,,English Home,,,,,,,,fabric,,POINT (23.9792477 49.8076583)
,,Brocard,,,,,,,,perfumery,,POINT (23.9794126 49.8076046)
,,Lush,,,,,,,,cosmetics,,POINT (23.9795749 49.8075414)
,,,,,,,,,,yes,,POINT (23.9799477 49.807287)
,,New Yorker,,,,,,,,clothes,,POINT (23.9797533 49.8074731)
,,Sinsay,,,,,,,,clothes,,POINT (23.9796098 49.8072238)
,,Cropp,,,,,,,,clothes,,POINT (23.9794528 49.8072359)
,,House,,,,,,,,clothes,,POINT (23.9792141 49.8072273)
,,Дека,,,,,,,,watches,,POINT (23.9793348 49.8072342)
